tie_line,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
1,1.1702251210930224e-06,0.0001225519383170345,0.004502273311528757,0.9953740045250332,3.4589769909487316e-05,0.5080738735190067,0.47494182371469235,0.01694971299639144
2,0.005564254082843639,0.00010807693780384329,0.003364478149193303,0.9909631908301592,0.1884924712037721,0.3967553072731422,0.3914105009481277,0.023341720574958015
3,0.010397979693697249,9.098347673529864e-05,0.0023306391154967465,0.9871803977140707,0.38695212262351464,0.2931661714346332,0.28917972168878914,0.030701984253062992
4,0.01555099395496347,6.243623788558923e-05,0.0012899879466587636,0.9830965818604922,0.6230492376929451,0.16891474781224294,0.16664626614590372,0.041389748348908205
5,0.022467899288869338,3.513503651527739e-08,5.16616099237449e-07,0.977531548959995,0.9393802777121901,7.14770036393754e-05,6.645845376942551e-05,0.06048178683040118
