tie_line,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvone,phase2_w_water4C_aparicio2007
1,1.2233783715048545e-06,0.0028021282881967474,5.049657723504532e-05,0.9971461517561966,3.413958638108369e-05,0.4832024177561449,0.49969825546738716,0.017065187190086942
2,0.005960257523654385,0.002051282776314502,4.616621203637765e-05,0.9919422934879947,0.19158431883555538,0.3928043740548744,0.3928344993549597,0.022776807754610613
3,0.010943585055276157,0.001397306210928197,4.0482717024258025e-05,0.9876186260167715,0.3941467953452177,0.287968627888584,0.2880074816013803,0.02987709516481792
4,0.015748045347302005,0.0007857930079106419,3.0432310299352378e-05,0.983435729334488,0.6227676629748399,0.1685325012682532,0.1685439895176208,0.04015584623928619
5,0.02246783523429335,3.3025355796157983e-07,2.0604164840341062e-08,0.9775318139079838,0.9393804749701923,6.803410065575912e-05,7.065214873003393e-05,0.06048083878042185
