tie_line,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
1,1.1340427251646509e-06,0.002600847652607403,0.000122745440772912,0.9972752728638945,3.436634887158792e-05,0.48006404340401165,0.5014109257003592,0.0184906645467576
2,0.005581977232278525,0.001952410548452465,0.00010798678464130545,0.9923576254346276,0.18995689860685222,0.39020328400123516,0.39559922717398815,0.02424059021792443
3,0.010400829641358557,0.0013759497308125674,9.035162058677213e-05,0.9881328690072421,0.3867716762441977,0.289091129762988,0.2930258740835799,0.03111131990923442
4,0.015571303733623164,0.0007733182932779108,6.176672899893933e-05,0.9835936112441,0.6237945734653487,0.16608081555770854,0.1686730383158094,0.04145157266113338
5,0.0224678402451539,3.3025585365728945e-07,3.513465238347994e-08,0.97753179436434,0.9393789007222607,6.803396939268317e-05,7.147686070199475e-05,0.06048158844764458
