tie_line,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
1,9.387259174316557e-07,0.0024035694578746812,0.00047540252480288945,0.997120089291405,3.4632421851635306e-05,0.4689297364009371,0.49300171101502127,0.03803392016218991
2,0.005282348775060136,0.0018721740172880296,0.0003738751732966726,0.9924716020343551,0.20172831146248074,0.373235993994692,0.3834728739496912,0.04156282059313606
3,0.01038659173946907,0.0013240395457740743,0.00027376994021092207,0.9880155987745459,0.4094873087399974,0.2687512265735114,0.2759993547222888,0.04576210996420238
4,0.01575799129048275,0.0007391387623884777,0.00015951905375734764,0.9833433508933714,0.6404250508127636,0.1520237160716628,0.15621761957453695,0.0513336135410367
5,0.022467856133217882,3.302643539692224e-07,7.810854445585582e-08,0.9775317354938837,0.9393734523225183,6.803350640456446e-05,7.206550316224106e-05,0.06048644866791474
