tie_line,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_geraniol,phase2_w_water4C_aparicio2007
1,1.1521647140593917e-06,0.00011636315890255267,0.000481483279332885,0.9994010013970505,3.340332808138978e-05,0.4887200572550392,0.4931052318586131,0.018141307558266186
2,0.005758872207453254,0.0001027633623074505,0.0003689626217565439,0.9937694018084827,0.188098422819187,0.3917716734877779,0.3969455426390711,0.023184361053963924
3,0.010629820020271408,8.579823088151322e-05,0.0002685712389993992,0.9890158105098478,0.384583453512824,0.29096286059006066,0.29474491059540336,0.029708775301712034
4,0.015624712590175786,5.951210644797276e-05,0.00016061494445280527,0.9841551603589234,0.6186034449803921,0.16965633738338842,0.17190605457892202,0.03983416305729749
5,0.022467754459156955,3.5133442544800113e-08,7.810383027720301e-08,0.9775321323035702,0.9393762092253856,7.147660796803157e-05,7.20656935741812e-05,0.06048024847307211
