tie_line,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvone,phase2_w_water4C_aparicio2007
1,2.3684113895326785e-06,0.00010915513453865559,4.1748819366555576e-05,0.9998467276347054,2.7018207531319577e-05,0.5011346877672024,0.4949092759473048,0.003929018077961457
2,0.008106538149460928,9.609522233408759e-05,3.905291128401852e-05,0.9917583137169209,0.1787074825986553,0.4085907307893046,0.4031967677014813,0.009505018910558875
3,0.012210802980595552,8.088656371392379e-05,3.524521876399489e-05,0.9876730652369264,0.37056629669273927,0.30827669015676257,0.3042081645027191,0.016948848647778986
4,0.016123761049536393,5.780504307139471e-05,2.7921564822763033e-05,0.9837905123425694,0.6084593196946265,0.18207509844720093,0.17967163852525908,0.029793943332913436
5,0.022467733439877517,3.513178808508846e-08,2.0602624428362063e-08,0.97753221082571,0.9393832333718455,7.14771521405723e-05,7.065230956130397e-05,0.0604746371664526
