tie_line,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_eugenol,phase2_w_water4C_aparicio2007
1,8.876115125418872e-07,0.001667925047527908,6.976458972066082e-05,0.998261422751239,3.310421820795686e-05,0.4482428238752193,0.4994968854016529,0.05222718650491986
2,0.00565138178781529,0.0013870827302671666,4.9072403547741075e-05,0.9929124630783698,0.21456969846965482,0.35192305500605786,0.38469564987588645,0.04881159664840091
3,0.01068837769482024,0.0010600997378282112,3.316059564195363e-05,0.9882183619717095,0.4158489565563217,0.25597756431156365,0.2798595898187973,0.04831388931331732
4,0.016180118703413245,0.0006243955758462718,1.7325574294433184e-05,0.983178160146446,0.6519236584796972,0.1417867850345814,0.15505469540128347,0.05123486108443787
5,0.022467830557912665,3.302455885283093e-07,8.714045064591008e-09,0.9775318304824537,0.9393696211387904,6.80333724389468e-05,7.734312082550544e-05,0.060485002367945094
