tie_line,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
1,9.168696903431601e-07,0.0025223907697630617,0.00425468331000204,0.9932220090505446,3.5933419279443734e-05,0.4842786832102956,0.4739088029998257,0.04177658037059925
2,0.005125313256221646,0.0019352929270738722,0.003284798655376917,0.9896545951613276,0.20335731301499793,0.37578638929355396,0.37566361208266635,0.045192685608781764
3,0.010284790586402475,0.0013723547340533829,0.00226900088483985,0.9860738537947042,0.4134807203465959,0.2701834421487296,0.2672940542598119,0.04904178324486279
4,0.01577260114728795,0.0007538015279730388,0.0012367940968153583,0.9822368032279237,0.6442414672457296,0.15103706635456762,0.15101448842320062,0.05370697797650202
5,0.022468001149296472,3.3027197424799194e-07,5.166357307958745e-07,0.9775311519429986,0.9393775187087378,6.803383024181229e-05,6.645815026188588e-05,0.06048798931075851
