tie_line,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_eugenol,phase2_w_water4C_aparicio2007
1,8.802582691686592e-07,0.00011435362612360387,8.661067088465351e-05,0.9997981554447225,3.32665217537589e-05,0.46464461401431223,0.5013811050004495,0.033941014463484395
2,0.00519153698321125,0.00010207397377306923,6.0525401928328694e-05,0.9946458636410874,0.19761017973403563,0.3699825833808599,0.3990778088973964,0.033329427987707994
3,0.010377616738955667,8.469590419394074e-05,3.856028659704901e-05,0.9894991270702533,0.40364338209699496,0.2698678907317595,0.291090986601879,0.035397740569366544
4,0.015633165703544758,5.811171438918737e-05,2.0047105481349414e-05,0.9842886754765847,0.6296912590777238,0.15812579566752571,0.17057257897505926,0.04161036627969113
5,0.022467728650592697,3.513359306042064e-08,8.714042303254454e-09,0.9775322275017719,0.9393723795742611,7.147629935179887e-05,7.734328262110104e-05,0.06047880084376584
