tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
1,0.0016503676231543743,1.0639571664866336e-05,0.0002628560455861167,0.9980761367595946,0.011065821366047678,8.889929719725509e-05,0.0021673031578340494,0.9866779761789211,0.38610424829209544,0.20967626129344566,0.20452874315035338,0.19969074726410535,0.41590663441952785,0.28145680634682935,0.2709220487568931,0.031714510476749724
2,0.001141339461085735,1.220675649056225e-05,0.00034944303981124274,0.9984970107426124,0.007670165802251739,0.00010222601312051573,0.0028877862701929442,0.9893398219144348,0.26663897018620086,0.28174366620745844,0.27723237047918187,0.17438499312715894,0.2708760658739706,0.35667477408734655,0.3463296563348636,0.02611950370381914
3,0.0008785917305096484,1.2832736697657869e-05,0.00039549631382356393,0.9987130792189691,0.005911308733228036,0.00010759374832665181,0.0032721839074929524,0.9907089136109524,0.2038653485282402,0.3186370918778141,0.3148724653802587,0.16262509421368695,0.20142585031919585,0.3923190029237103,0.38256497796684924,0.023690168790244704
4,0.0007158598593666685,1.3168224559327203e-05,0.000424422275957336,0.9988465496401167,0.004819894126852845,0.00011048617412845354,0.003514037497528545,0.9915555822014902,0.16510611011749052,0.34113731904480876,0.33797000988055353,0.15578656095714724,0.1604864453540697,0.4132146092909992,0.40397278679904025,0.02232615855589083
5,0.000604599542012195,1.337690174322594e-05,0.00044436034772237545,0.9989376632085222,0.004072780055650091,0.00011229228101867949,0.003680926748753333,0.9921340009145779,0.13876848355530508,0.35631524577903545,0.35361274590447134,0.15130352476118816,0.1334393612582156,0.42697135570423356,0.41813811427251435,0.021451168765036593
6,0.0005235378302829978,1.351906808347254e-05,0.0004589637988087565,0.9990039793028248,0.0035279850061362295,0.00011352634096344352,0.0038032583464786725,0.9925552303064217,0.11969567187502209,0.3672532127911405,0.36491707347646046,0.1481340418573769,0.11422129212631216,0.4367223809685203,0.42821466737830427,0.020841659526863215
7,0.00046177453488777435,1.3622075896667089e-05,0.00047013199395094834,0.9990544713952647,0.0031126268461261182,0.00011442254372543513,0.0038968673287329055,0.9928760832814154,0.10524163636638607,0.3755135569008584,0.3734717447282605,0.145773062004495,0.09985552670933465,0.4439983524853239,0.4357536150681567,0.020392505737184725
8,0.0004131173967736132,1.3700109325418209e-05,0.0004789545204734102,0.9990942279734276,0.00278524759911699,0.00011510271844950599,0.003970848656089708,0.9931288010263437,0.09390761734970007,0.3819738891397605,0.38017296225145725,0.14394553125908216,0.08870702630891039,0.4496370595551798,0.4416082310564013,0.020047683079508594
9,0.00037377803416536125,1.3761249753491869e-05,0.00048610265401304324,0.9991263580620681,0.0025204579840984623,0.00011563645968055885,0.004030810789694891,0.993333094766526,0.08478064786488505,0.3871655880287285,0.3855651039948237,0.14248866011156266,0.07980217420958756,0.4541360369086838,0.4462872166425131,0.019774572239215537
10,0.0003413047453433014,1.3810436826987075e-05,0.0004920131052989204,0.9991528717125308,0.0023018138792334168,0.00011606640067977046,0.004080405105248548,0.9935017146148383,0.07727261746080073,0.39142938036975355,0.38999811916457877,0.14129988300486687,0.07252468072532733,0.45780954785861483,0.45011288818745193,0.019552883228605968
11,0.00031403907630225575,1.3850857449513745e-05,0.000496982491370129,0.999175127574878,0.002118184448903035,0.00011642009971197749,0.004122113127698172,0.9936432823236869,0.07098748668836155,0.394993886892905,0.3937073012584348,0.14031132516029868,0.06646527509252138,0.46086593039356366,0.4532994673493738,0.019369327164541122
12,0.00029081821742026764,1.3884659675435618e-05,0.0005012194617895105,0.9991940776611149,0.001961761220541246,0.0001167161624556089,0.004157681304268409,0.9937638413127348,0.06564874525265564,0.3980182588234231,0.396856727272127,0.13947626865179424,0.061341439877202614,0.4634487925947803,0.45599493256001755,0.019214834967999563
13,0.0002708023170065167,1.3913343592550821e-05,0.0005048751171318793,0.999210409222269,0.0018269018893844779,0.00011696760099722854,0.0041883749124318245,0.9938677555971864,0.06105745582382089,0.40061672070252363,0.3995643272393105,0.13876149623434503,0.05695182907570668,0.46566035788623866,0.45830480870623735,0.01908300433181726
14,0.000253369426088023,1.3937988302163125e-05,0.000508061602336805,0.9992246309832731,0.001709426452616462,0.0001171837877087391,0.00421513336101999,0.9939582563986549,0.05706681941767128,0.4028733884598803,0.40191705324695026,0.13814273887549827,0.0531490491631359,0.4675753804721017,0.4603063843316911,0.01896918603307132
15,0.0002380490148101702,1.395938979613898e-05,0.0005108639184668343,0.9992371276769267,0.001606171509958748,0.00011737164396090073,0.004238668901966334,0.9940377879441141,0.053566136704720366,0.40485158232053664,0.4039804305802065,0.13760185039453657,0.04982271089224748,0.4692497967183909,0.462057570385106,0.01886992200425581
16,0.00022447846666823489,1.3978148009330089e-05,0.0005133476768259532,0.9992481957084964,0.0015146984573611024,0.00011753639170199944,0.004259531462628024,0.9941082336883089,0.05047034912487938,0.4065998826597349,0.40580477843840607,0.13712498977697965,0.046888495644816446,0.47072629897904206,0.4636026187441527,0.018782586631988757
17,0.0002123737779911097,1.399472363768953e-05,0.0005155643359443397,0.9992580671624268,0.0014330968726420919,0.0001176820446242635,0.004278152450267647,0.994171068632466,0.04771301842615423,0.4081561852013216,0.40742938134768186,0.13670141502484234,0.04428088407263476,0.4720380381735243,0.4649759273997086,0.018705150354132324
18,0.00020150932381900798,1.4009476283710577e-05,0.0005175548260077512,0.9992669263738896,0.0013598486862073816,0.00011781173829648452,0.004294875079426994,0.9942274644960691,0.04524149389261341,0.4095504866271402,0.4088853581305164,0.13632266134973,0.04194819093048612,0.47321114946931153,0.4662046400593809,0.018636019540821485
19,0.00019170357455439675,1.4022690731901803e-05,0.0005193521131832887,0.9992749216215303,0.001293732265495143,0.00011792795780263471,0.004309975835713857,0.9942783639409883,0.04301351096433586,0.4108068416098051,0.4101976797026735,0.13598196772318552,0.03984909526714775,0.4742665157232929,0.46731046364956524,0.018573925359994
