tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_camphor,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_camphor,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
32,0.00011189000180696792,0.0003054288818409247,1.4226305976648738e-05,0.9995684548103754,0.0007566302606323207,0.0025398101907596364,0.00011988250084771046,0.9965836770477603,0.0252185355515197,0.41654924702333623,0.4166330514966064,0.14159916592853755,0.023404368212477548,0.4753813570689718,0.4818390585717777,0.019375216146773115
33,0.00010873703482708738,0.0003057407187535266,1.4231046945586905e-05,0.9995712911994737,0.0007353207129765595,0.0025424436110455693,0.00011992435416265638,0.9966023113218152,0.02450420356569898,0.41695886557529577,0.4170320656704207,0.14150486518858454,0.02273566964112661,0.47572842831645223,0.4821784883048458,0.019357413737575394
34,0.00010575693921129234,0.00030603547614897655,1.4235520367440293e-05,0.9995739720642722,0.0007151789070686442,0.0025449328714216212,0.0001199638498315906,0.9966199243716781,0.023829229932296483,0.41734588919449633,0.41740905169247844,0.14141582918072867,0.022104127515018786,0.4760562191669817,0.48249904205474714,0.01934061126325228
35,0.00010293587259386751,0.00030631451632835455,1.4239747990376391e-05,0.9995765098630873,0.0006961113864741806,0.002547289465192155,0.00012000117928277206,0.9966365979690508,0.023190448634682715,0.41771213784352285,0.4177657853003658,0.14133162822142872,0.021506728153780148,0.4763662931051247,0.482802252082896,0.019324726658198992
36,0.0001002614333498629,0.0003065790640158767,1.4243749528005104e-05,0.9995789157531063,0.0006780344169772571,0.002549523724978895,0.00012003651595648426,0.9966524053420873,0.022585024377323626,0.41805924080429524,0.41810385603273886,0.1412518787856423,0.020940775253620376,0.47666004894271696,0.48308948910607313,0.019309686697589583
37,9.772247694769938e-05,0.00030683021989482724,1.4247542645507533e-05,0.999581199760512,0.0006608727479316791,0.0025516449374090675,0.00012007001529811081,0.9966674122993611,0.02201041051231601,0.4183886612695324,0.41842469126684023,0.14117623695131123,0.020403849176084607,0.47693874198555186,0.48336198308136036,0.019295425757003184
38,9.530896060115444e-05,0.00030706897595143335,1.425114321161199e-05,0.9995833709202359,0.0006445585643874898,0.002553661472441086,0.00012010181697101575,0.9966816781462005,0.021464313219486924,0.41870171706377224,0.4187295764664057,0.1411043932503352,0.019893772346011165,0.47720350199130446,0.48362084083730933,0.01928188482537517
39,9.301181034514708e-05,0.00030729622852570073,1.4254565526384353e-05,0.9995854373956027,0.0006290305904020249,0.0025555808933822423,0.00012013204685291225,0.9966952564693629,0.020944660883933885,0.41899959818936955,0.4190196723211441,0.14103606860555246,0.019408579715553438,0.4774553484732933,0.4838670610959845,0.019269010715168736
40,9.082280693588636e-05,0.00030751278951988954,1.4257822504195111e-05,0.99958740658104,0.0006142333192803417,0.0025574100513819035,0.00012016081864375675,0.9967081958106939,0.020449577824755594,0.41928338198837434,0.4192960295582308,0.14097101062863923,0.018946493451018346,0.47769520383385555,0.4841015473633161,0.019256755351809995
41,8.873448756136108e-05,0.00030771939630090304,1.4260925846024838e-05,0.9995892851902917,0.0006001163504302648,0.0025591551688863927,0.00012018823537452716,0.9967205402453088,0.019977361664863906,0.4195540461923753,0.41955960168898443,0.14090899045377642,0.018505901153804235,0.4779239046631255,0.4843251190172168,0.019245075165853512
42,0.002195729152022344,0.00010584816484331991,8.124003319336087e-06,0.9976902986798151,0.014693710759995881,0.0008710333532296537,6.77476186569732e-05,0.9843675082681175,0.504178061673414,0.13160955283115816,0.13283694642661042,0.23137543906881738,0.5824158782712353,0.1869542788599375,0.19122266625150194,0.03940717661732531
43,0.0016756306955298629,0.00015428158570749404,1.0372988611430402e-05,0.9981597147301512,0.011242468151081295,0.0012729055671389816,8.672783053803797e-05,0.9873978984512417,0.39114247248746836,0.2019791606977305,0.20332826072710797,0.20355010608769322,0.42381660967237006,0.2691214370265113,0.2745440053514172,0.03251794794970152
